President
Name,Votes
"Mugabe Christian",203
"Elias Kamau",83
"Clide Odhiambo",39
" "
" "
" "
"Vice President"
Name,Votes
"Abraham Varney",155
"Raphael Njogu Karanja",118
"KEBUYA NUCHA",54
" "
" "
" "
Secretary
Name,Votes
"Jeremiah Thoronka",294
" "
" "
" "
Treasurer
Name,Votes
"Yayra Afenu",304
" "
" "
" "
"Academic Affairs Committee Head"
Name,Votes
"Zachariah Jambo",188
"Ebere Ukoh",131
" "
" "
" "
"ALU Alive Committee Head"
Name,Votes
"Emmanuel Araka",309
" "
" "
" "
"Clubs and Societies Committee Head"
Name,Votes
"Muhizi Allan",303
" "
" "
" "
"Social Transformation Committee Head"
Name,Votes
"Jerrylynn Kariuki",274
" "
" "
" "
